Judul Berita Terkini
"Dr Andriyanto, Alumnus UNAIR yang Dilantik Menjadi Pj Bupati Pasuruan"
"UNAIR Raih 4,5 Trees Rating pada UI GreenMetric World University Ranking"
Pakar Politik UNAIR Sebut Pengusungan Gibran Jadi Strategi Jangka Panjang
"Berkomitmen Tingkatkan Transparansi Informasi, UNAIR Gabung JDIH"
"Komitmen Tingkatkan Kualitas Pendidikan, Rektor UNAIR Kukuhkan Enam Guru Besar"
"Tambah Lagi, UNAIR Kini Miliki 11 Jurnal Ilmiah Terindeks Scopus"
UNAIR Raih Anugerah Jatim Bangkit Awards Berkat Sukseskan Pemulihan Pandemi
"Kukuhkan Tujuh Guru Besar, Rektor UNAIR Ajak Akademisi Tingkatkan Daya Kritis"
"Beri Kuliah Tamu di UNAIR, Mahfud MD Tekankan Pentingnya Politik Kebangsaan"
UNAIR Anugerahi Khofifah Gelar Doktor Honoris Causa
"UNAIR Luluskan 1.382 Wisudawan, Rektor: Anda Orang-Orang Terpilih"
Rektor Beri Pesan Gubes untuk Bumikan Ilmu Pengetahuan
UNAIR Bagikan 1974 Sertifikat Halal Gratis untuk UMKM
"Kukuhkan Tujuh Guru Besar, Rektor UNAIR Tekankan Kerja Sama Riset Internasional"
UNAIR Tingkatkan Kontribusi dengan Tambah 7 Guru Besar Baru
UNAIR Duduki Peringkat Kedua Nasional Versi THE WUR
"Dukung Merdeka Belajar, UNAIR Berikan Ruang Eksplorasi Bagi Mahasiswa"
Pengukuhan Gubes Wujudkan UNAIR Jadi SMART University
"Jadi Tuan Rumah The 6th ASEAN+3 Rector’s Conference, UNAIR Tekankan Pentingnya Kolaborasi"
Intip Kisah Guru Besar UNAIR yang 18 Tahun Mengabdi Jadi Dokter Forensik
"Kukuhkan Gubes, Rektor: Semoga Target Segera Tercapai"
"Singkirkan Puluhan Peserta, Mahasiswa UNAIR Bawa Pulang Medali Emas"
"Jadi Pionir, FKH UNAIR Adakan Program MBKM di 10 Wilayah Jatim"
Resmi! UNAIR Bakal Miliki Plaza Airlangga
"Menkes Luncurkan Permenkes Rumah Sakit Kapal, Berobat di RSTKA Kini Bisa Pakai BPJS"
Pengukuhan Guru Besar Jadi Tambahan Energi bagi UNAIR
"Kukuhkan Empat Guru Besar FK, Rektor UNAIR Tekankan Kecintaan pada Ilmu"
"Masuk Deretan Top 100 Peneliti Indonesia, Wakil Rektor UNAIR Bagikan Tips bagi Peneliti Pemula"
UNAIR Siap Tingkatkan Kontribusi dengan 12 Guru Besar Baru
UNAIR Sambut Kedatangan 390 Peserta Pertukaran Mahasiswa Merdeka
"Janis Rosalita, Alumnus UNAIR jadi Atlet Terbaik Putri SIWO 2023"
Rektor UNAIR Beri Tanggapan Kebijakan Baru Penghapusan Skripsi
IKA UNAIR Wilayah Inggris Gelar Silaturahmi dan Konsolidasi Alumni
Produk Penurun Glukosa dalam Darah Gubes UNAIR Tembus Pameran Internasional di Pakistan
Mahasiswa UNAIR Ciptakan Alat Deteksi Stress pada E-Sport
Tanam Jahe dan Sereh untuk Tingkatkan Kesehatan Warga Flat Kenari
Dosen FISIP UNAIR Tanggapi Putusan MK yang Mengizinkan Kampanye Politik di Lingkungan Kampus
"Kolaborasi UNAIR dan UTM Tingkatkan Ekowisata di Sungai Melayu, Malaysia"
"Sambut Tahun Politik, UNAIR Tandatangani Deklarasi Tolak Politik Uang"
Bagi-bagi Sepeda Hingga Musisi Meriahkan Amerta Abiseka
"Puncak PKKMB UNAIR, Rektor dan Gubernur Khofifah Berikan Pesan pada Mahasiswa Baru"
Tim Mahasiswa UNAIR Borong 4 Medali dalam Ajang National Essay Competition
UNAIR Bersama Wali Kota Surabaya Resmikan Theater Rasa ASEEC
Western Sydney University Kunjungi UNAIR Bahas Peluang Kerja Sama
"Sejumlah Tokoh Dikukuhkan Jadi Maba UNAIR, dari Artis hingga Politikus"
UNAIR Gandeng UTM Malaysia Beri Akses Pendidikan untuk Anak Pekerja Migran Indonesia
Guru Besar FKM UNAIR Raih Penghargaan Penggerak Kampung Emas
"Rayakan Kemerdekaan RI, Kali Pertama UNAIR Buka Pelayanan Vaksin INAVAC Gratis"
Pakaian Adat hingga Launching Logo Dies Natalis Semarakkan Peringatan Hari Kemerdekaan
Perjuangan dan Pengabdian di Pulau Sabu: Misi Kemanusiaan RSTKA untuk Kesehatan Kepulauan
6 Mahasiswa MSU Malaysia Raih Gelar Double Degree di UNAIR
"Luluskan 866 Wisudawan, Rektor: Lulusan Harus Pintar Menyesuaikan Diri"
"FKM UNAIR Dapat Apresiasi dari Wali Kota Surabaya, Berkat Peran Aktif Dukung Pemerintah"
"Usung Revitalisasi Makanan Tradisional, Mahasiswa UNAIR Raih Penghargaan Internasional"
UNAIR Kokohkan Relasi Internasional Melalui Pertemuan Strategis dengan MSU dan JGU
Mahasiswa FIB UNAIR Raih Juara I Creative Video Competition
Cerita Sasha Maba FK UNAIR yang Sempat Gagal 15 Kali
Tim UNAIR Sabet Juara III Lomba Debat Action Polinema
"Excellence Rank, UNAIR Peringkat 2 di Indonesia"
Menjangkau Titik 0 Selatan Indonesia hingga Pulau Rote
